Kode;Kecamatan;Jumlah;Jumlah;Kodepos[18];Status;Daftar
Kemendagri;;Kelurahan;Desa;;;Desa/Kelurahan
33.04.09;Banjarmangu;;17;53452;Desa;Banjarkulon
;;;;;;Banjarmangu
;;;;;;Beji
;;;;;;Gripit
;;;;;;Jenggawur
;;;;;;Kalilunjar
;;;;;;Kendaga
;;;;;;Kesenet
;;;;;;Majatengah
;;;;;;Paseh
;;;;;;Pekandangan
;;;;;;Prendengan
;;;;;;Rejasari
;;;;;;Sigeblok
;;;;;;Sijenggung
;;;;;;Sijeruk
;;;;;;Sipedang
33.04.06;Banjarnegara;9;4;53411-53419;Desa;Ampelsari
;;;;;;Cendana
;;;;;;Sokayasa
;;;;;;Tlagawera
;;;;;Kelurahan;Argasoka
;;;;;;Karangtengah
;;;;;;Krandegan
;;;;;;Kutabanjarnegara
;;;;;;Parakancanggah
;;;;;;Semampir
;;;;;;Semarang
;;;;;;Sokanandi
;;;;;;Wangon
33.04.16;Batur;;8;53456;Desa;Bakal
;;;;;;Batur
;;;;;;Dieng Kulon
;;;;;;Karangtengah
;;;;;;Kepakisan
;;;;;;Pasurenan
;;;;;;Pekasiran
;;;;;;Sumberejo
33.04.05;Bawang;;18;53471;Desa;Bandingan
;;;;;;Bawang
;;;;;;Binorong
;;;;;;Blambangan
;;;;;;Depok
;;;;;;Gemuruh
;;;;;;Joho
;;;;;;Kebondalem
;;;;;;Kutayasa
;;;;;;Majalengka
;;;;;;Mantrianom
;;;;;;Masaran
;;;;;;Pucang
;;;;;;Serang
;;;;;;Wanadri
;;;;;;Watuurip
;;;;;;Winong
;;;;;;Wiramastra
33.04.18;Kalibening;;16;53458;Desa;Asinan
;;;;;;Bedana
;;;;;;Gununglangit
;;;;;;Kalibening
;;;;;;Kalibombong
;;;;;;Kalisat Kidul
;;;;;;Karang Anyar
;;;;;;Kasinoman
;;;;;;Kertasari
;;;;;;Majatengah
;;;;;;Plorengan
;;;;;;Sembawa
;;;;;;Sidakangen
;;;;;;Sikumpul
;;;;;;Sirukem
;;;;;;Sirukun
33.04.13;Karangkobar;;13;53453;Desa;Ambal
;;;;;;Binangun
;;;;;;Gumelar
;;;;;;Jlegong
;;;;;;Karanggondang
;;;;;;Krangkobar
;;;;;;Leksana
;;;;;;Pagerpelah
;;;;;;Pasuruhan
